stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,ObjectId
52.18724,1,3601,-106.619462,,,,,Silverwood / Adilman,,3601,,565
52.178784,0,3602,-106.614236,,,,,Silverwood / A E Adams,,3602,,566
52.110826,1,3603,-106.693391,,,,,Schuyler / Avenue P,,3603,,567
52.11096,0,3604,-106.693965,,,,,Schuyler / Avenue P,,3604,,568
52.114844,1,3605,-106.594091,,,,,8th Street / Chaben,,3605,,569
52.110954,0,3606,-106.691337,,,,,Schuyler / Avenue N,,3606,,570
52.110831,1,3607,-106.687346,,,,,Schuyler / Avenue L,,3607,,571
52.110943,0,3608,-106.688662,,,,,Schuyler / Avenue L,,3608,,572
52.110951,0,3609,-106.686883,,,,,Schuyler / Avenue K,,3609,,573
52.164703,1,3616,-106.617275,,,,,Saguenay / Sandy,,3616,,574
52.166578,1,3618,-106.617286,,,,,Saguenay / La Ronge Road,,3618,,575
52.165999,1,3619,-106.617532,,,,,Saguenay / La Ronge,,3619,,576
52.13496,0,3620,-106.710412,,,,,Witney / Rylston,,3620,,577
52.10048,1,3621,-106.681599,,,,,Ruth / Saint Henry,,3621,,578
52.143939,1,3622,-106.689253,,,,,33rd Street / Valens,,3622,,579
52.144078,1,3623,-106.598793,,,,,Central / 115th Street,,3623,,580
52.100162,0,3626,-106.637901,,,,,Ruth / Wiggins,,3626,,581
52.100476,1,3627,-106.674025,,,,,Ruth / St Patrick,,3627,,582
52.122512,1,3746,-106.622512,,,,,Preston / 14th Street,,3746,,583
52.111832,1,3629,-106.58676,,,,,McKercher / Tait Crescent,,3629,,584
52.122962,1,3994,-106.721627,,,,,Fairmont / 300-Block,,3994,,585
52.114249,1,4134,-106.646625,,,,,Clarence / 8th Street,,4134,,586
52.100329,0,4063,-106.656894,,,,,Broadway / Ruth,,4063,,587
52.121362,1,3747,-106.622829,,,,,Preston / 14th Street,,3747,,588
52.100479,0,3630,-106.676676,,,,,Ruth / Herman,,3630,,589
52.163837,1,3996,-106.623491,,,,,Assiniboine / Nahanni,,3996,,590
52.11508,1,4135,-106.646378,,,,,Clarence / 8th Street,,4135,,591
52.100116,1,4064,-106.656625,,,,,Broadway / Ruth,,4064,,592
52.132392,1,3748,-106.755515,,,,,Centennial / Childers,,3748,,593
52.100299,1,3631,-106.643368,,,,,Ruth / Haultain,,3631,,594
52.163813,0,3997,-106.625929,,,,,Assiniboine / Nahanni,,3997,,595
52.124066,1,4141,-106.646371,,,,,Clarence / Colony,,4141,,596
52.106985,1,4065,-106.656956,,,,,Broadway / Taylor,,4065,,597
52.133553,1,3749,-106.758868,,,,,Kensington / Centennial,,3749,,598
52.100154,0,3632,-106.642649,,,,,Ruth / Haultain,,3632,,599
52.163646,1,3998,-106.626625,,,,,Assiniboine / Sturgeon Crescent,,3998,,600
52.123598,1,4142,-106.646671,,,,,Clarence / Colony,,4142,,601
52.107731,1,4066,-106.656609,,,,,Broadway / Taylor,,4066,,602
52.136858,1,3750,-106.754518,,,,,Diefenbaker / Childers,,3750,,603
52.100155,0,3636,-106.634657,,,,,Ruth / Cumberland,,3636,,604
52.187524,0,3999,-106.655869,,,,,60th Street / Miners,,3999,,605
52.103367,1,4143,-106.646646,,,,,Clarence / Hilliard,,4143,,606
52.119857,1,4069,-106.741832,,,,,Fairlight / McCormack,,4069,,607
52.167873,1,3752,-106.617932,,,,,Pinehouse / Saguenay,,3752,,608
52.100146,0,3638,-106.645343,,,,,Ruth / Clarence,,3638,,609
52.124263,1,4000,-106.666571,,,,,19th Street / 2nd Avenue,,4000,,610
52.103845,0,4144,-106.646383,,,,,Clarence / Hilliard,,4144,,611
52.150581,0,4071,-106.714012,,,,,37th Street / Peterson,,4071,,612
52.169568,1,3754,-106.633706,,,,,Pinehouse / Primrose Drive,,3754,,613
52.100316,1,3639,-106.640418,,,,,Ruth / Cairns,,3639,,614
52.112732,0,4001,-106.694213,,,,,Avenue P / Dudley,,4001,,615
52.117012,1,4148,-106.646385,,,,,Clarence / Main,,4148,,616
52.113058,0,4072,-106.740859,,,,,Caen / Elevator,,4072,,617
52.168876,1,3755,-106.627812,,,,,Pinehouse / La Ronge,,3755,,618
52.17546,1,3641,-106.633005,,,,,Russell / Thain,,3641,,619
52.120122,1,4003,-106.7059,,,,,Avenue W / 17th Street,,4003,,620
52.121491,1,4004,-106.705962,,,,,Avenue W / 18th Street,,4004,,621
52.144255,1,4005,-106.705609,,,,,Avenue W / 33rd Street,,4005,,622
52.164452,0,4006,-106.647929,,,,,Millar / 46th Street,,4006,,623
52.166966,1,4007,-106.64727,,,,,Millar / 47th Street,,4007,,624
52.169103,0,4008,-106.64668,,,,,Millar / 48th Street,,4008,,625
52.171043,0,4009,-106.646173,,,,,Millar / 50th Street,,4009,,626
52.100315,1,4010,-106.64688,,,,,Ruth / Clarence Avenue,,4010,,627
52.100285,1,4011,-106.650315,,,,,Ruth  / York Avenue,,4011,,628
52.100309,0,4013,-106.654632,,,,,Ruth / Dufferin Avenue,,4013,,629
52.125761,1,4014,-106.705957,,,,,Avenue W / 20th Street,,4014,,630
52.095653,1,4016,-106.653721,,,,,Wilson / Dufferin,,4016,,631
52.144475,1,4018,-106.705884,,,,,Avenue W / Byers,,4018,,632
52.146746,1,4019,-106.705878,,,,,Avenue W / Richardson,,4019,,633
52.086031,1,4020,-106.622512,,,,,Preston / Hunter,,4020,,634
52.150729,1,4021,-106.696677,,,,,Richardson / 37th Street,,4021,,635
52.104141,1,4022,-106.587697,,,,,Heritage / McKercher,,4022,,636
52.152466,1,4023,-106.697736,,,,,Richardson / Lehrer,,4023,,637
52.200773,0,4028,-106.630835,,,,,Arthur Rose / Day,,4028,,638
52.198936,0,4029,-106.630821,,,,,Arthur Rose / Beavis,,4029,,639
52.117922,1,4030,-106.575223,,,,,Boychuk / DeGeer,,4030,,640
52.123139,1,4031,-106.576,,,,,Boychuk / Laval,,4031,,641
52.107264,1,4032,-106.630471,,,,,Taylor / Louise,,4032,,642
52.123388,1,4033,-106.58541,,,,,Boychuk / McKercher,,4033,,643
52.12313,1,4035,-106.57981,,,,,Boychuk / Waterloo,,4035,,644
52.086747,1,4036,-106.622814,,,,,Preston / Willis,,4036,,645
52.11461,1,4037,-106.575834,,,,,8th Street / Boychuk,,4037,,646
52.119069,1,4042,-106.656555,,,,,Broadway / 11th Street,,4042,,647
52.119949,1,4043,-106.657125,,,,,Broadway / 12th Street,,4043,,648
52.109918,0,4046,-106.656936,,,,,Broadway / 3rd Street,,4046,,649
52.110408,1,4047,-106.656646,,,,,Broadway / 3rd Street,,4047,,650
52.112459,0,4050,-106.656942,,,,,Broadway / 6th Street,,4050,,651
52.112612,0,4051,-106.656603,,,,,Broadway / 6th Street,,4051,,652
52.11527,1,4052,-106.656597,,,,,Broadway / 8th Street,,4052,,653
52.114303,1,4053,-106.657009,,,,,Broadway / 8th Street,,4053,,654
52.125815,1,4054,-106.722807,,,,,Fairmont / Camponi exit,,4054,,655
52.101634,1,4055,-106.656898,,,,,Broadway / Adelaide,,4055,,656
52.102156,1,4056,-106.656634,,,,,Broadway / Adelaide,,4056,,657
52.103374,1,4057,-106.656906,,,,,Broadway / Hilliard,,4057,,658
52.103535,1,4058,-106.656631,,,,,Broadway / Hilliard,,4058,,659
52.105068,1,4059,-106.6569,,,,,Broadway / Isabella,,4059,,660
52.105542,1,4060,-106.656635,,,,,Broadway / Isabella,,4060,,661
52.117172,1,4062,-106.656597,,,,,Broadway / Main,,4062,,662
52.127104,1,4149,-106.646381,,,,,Clarence / Osler,,4149,,663
52.127297,1,4074,-106.723233,,,,,Fairmont / Fairlight,,4074,,664
52.100505,0,4150,-106.646405,,,,,Clarence / Ruth,,4150,,665
52.133732,1,4076,-106.638059,,,,,Campus / Commerce Court,,4076,,666
52.106951,1,4152,-106.646639,,,,,Clarence / Taylor,,4152,,667
52.132841,1,4077,-106.630442,,,,,Campus / Agriculture Building,,4077,,668
52.107198,0,4153,-106.646375,,,,,Clarence / Taylor,,4153,,669
52.130432,1,4078,-106.628835,,,,,Campus / N.R.C. Place,,4078,,670
52.126887,1,4154,-106.646604,,,,,Clarence / University Drive,,4154,,671
52.155091,1,4080,-106.713653,,,,,Hampton Circle / East Hampton,,4080,,672
52.095633,0,4156,-106.64643,,,,,Clarence / Wilson,,4156,,673
52.10017,0,4081,-106.653385,,,,,Ruth Street / Dufferin,,4081,,674
52.136967,0,4158,-106.685497,,,,,29th Street / Avenue K,,4158,,675
52.157001,1,4082,-106.715618,,,,,Hampton Circle / Henick,,4082,,676
52.128749,1,4161,-106.627386,,,,,College / Field House,,4161,,677
52.156744,1,4083,-106.720459,,,,,Hampton Circle / Klassen,,4083,,678
52.12874,1,4162,-106.64174,,,,,College / Munroe,,4162,,679
52.155487,1,4084,-106.721991,,,,,Hampton Circle / Geary,,4084,,680
52.128975,1,4163,-106.641978,,,,,College / Munroe,,4163,,681
52.134224,1,4085,-106.730238,,,,,Centennial / Diefenbaker,,4085,,682
52.197325,0,4164,-106.639628,,,,,Marquis Drive / Kochar,,4164,,683
52.196003,1,4086,-106.653992,,,,,Marquis / Burron,,4086,,684
52.129108,1,4166,-106.629397,,,,,College / Campus,,4166,,685
52.194767,0,4087,-106.66609,,,,,Marquis / Siemens,,4087,,686
52.10015,0,4167,-106.656329,,,,,Ruth Street / Broadway,,4167,,687
52.100164,0,4168,-106.648883,,,,,Ruth Street / York Avenue,,4168,,688
52.13167,1,4169,-106.722994,,,,,Confederation / Mall Exit,,4169,,689
52.114925,1,4172,-106.61142,,,,,8th Street / Arlington,,4172,,690
52.132195,1,4174,-106.723969,,,,,Superstore,,4174,,691
52.139929,1,4175,-106.726156,,,,,Confederation / Massey,,4175,,692
52.139198,1,4176,-106.726543,,,,,Confederation / Massey,,4176,,693
52.136371,1,4177,-106.725859,,,,,Confederation / Milton,,4177,,694
52.135421,1,4178,-106.725866,,,,,Confederation / Confederation,,4178,,695
52.133824,1,4179,-106.724649,,,,,Confederation / Laurier,,4179,,696
52.119518,1,4180,-106.634798,,,,,Cumberland / 12th Street,,4180,,697
52.11049,1,4181,-106.635182,,,,,Cumberland / 3rd Street,,4181,,698
52.109999,1,4182,-106.635443,,,,,Cumberland / 3rd Street,,4182,,699
52.114347,1,4185,-106.635419,,,,,Cumberland / 8th Street,,4185,,700
52.123577,0,4187,-106.634809,,,,,Cumberland / Colony,,4187,,701
52.124175,1,4188,-106.634582,,,,,Cumberland / Colony,,4188,,702
52.120175,1,4189,-106.634546,,,,,Cumberland / Garrison,,4189,,703
52.116452,1,4190,-106.634792,,,,,Cumberland / Main,,4190,,704
52.117034,1,4191,-106.634546,,,,,Cumberland / Main,,4191,,705
